# tpr, fnr, fpr
4.539363127778604790e-02,9.992342482471463505e-01,7.657517528536217366e-04
4.543617451234817362e-02,9.992342482471463505e-01,7.657517528536217366e-04
4.571270553700197692e-02,9.992342482471463505e-01,7.657517528536217366e-04
4.575524877156410264e-02,9.992342482471463505e-01,7.657517528536217366e-04
4.575524877156410264e-02,9.992103185048697434e-01,7.896814951302974159e-04
4.701027419114675587e-02,9.992103185048697434e-01,7.896814951302974159e-04
4.705281742570887465e-02,9.992103185048697434e-01,7.896814951302974159e-04
4.711663227755206323e-02,9.992103185048697434e-01,7.896814951302974159e-04
4.711663227755206323e-02,9.991863887625930252e-01,8.136112374069730951e-04
4.713790389483312609e-02,9.991863887625930252e-01,8.136112374069730951e-04
4.713790389483312609e-02,9.991624590203163070e-01,8.375409796836487744e-04
4.732934845036267796e-02,9.991624590203163070e-01,8.375409796836487744e-04
4.737189168492480368e-02,9.991624590203163070e-01,8.375409796836487744e-04
4.745697815404905512e-02,9.991624590203163070e-01,8.375409796836487744e-04
4.745697815404905512e-02,9.991385292780396998e-01,8.614707219603244537e-04
4.779732403054604006e-02,9.991385292780396998e-01,8.614707219603244537e-04
4.779732403054604006e-02,9.991145995357629817e-01,8.854004642370001329e-04
4.822275637616728339e-02,9.991145995357629817e-01,8.854004642370001329e-04
4.822275637616728339e-02,9.990906697934863745e-01,9.093302065136758122e-04
4.879709004275595285e-02,9.990906697934863745e-01,9.093302065136758122e-04
4.879709004275595285e-02,9.990428103089329381e-01,9.571896910670271708e-04
4.915870753653400066e-02,9.990428103089329381e-01,9.571896910670271708e-04
4.915870753653400066e-02,9.990188805666563310e-01,9.811194333437028500e-04
4.935015209206355946e-02,9.990188805666563310e-01,9.811194333437028500e-04
4.939269532662568518e-02,9.990188805666563310e-01,9.811194333437028500e-04
5.043500457339771675e-02,9.990188805666563310e-01,9.811194333437028500e-04
5.043500457339771675e-02,9.989949508243796128e-01,1.005049175620378529e-03
5.124332603007806380e-02,9.989949508243796128e-01,1.005049175620378529e-03
5.124332603007806380e-02,9.989710210821028946e-01,1.028978917897054209e-03
5.245580821509859132e-02,9.989710210821028946e-01,1.028978917897054209e-03
5.245580821509859132e-02,9.989470913398262875e-01,1.052908660173729888e-03
5.358320393099487433e-02,9.989470913398262875e-01,1.052908660173729888e-03
5.358320393099487433e-02,9.989231615975495693e-01,1.076838402450405567e-03
5.371083363468124455e-02,9.989231615975495693e-01,1.076838402450405567e-03
5.375337686924337027e-02,9.989231615975495693e-01,1.076838402450405567e-03
5.383846333836761477e-02,9.989231615975495693e-01,1.076838402450405567e-03
5.383846333836761477e-02,9.988992318552729621e-01,1.100768144727081246e-03
5.420008083214566952e-02,9.988992318552729621e-01,1.100768144727081246e-03
5.420008083214566952e-02,9.988753021129962439e-01,1.124697887003756926e-03
5.432771053583203974e-02,9.988753021129962439e-01,1.124697887003756926e-03
5.432771053583203974e-02,9.988513723707195258e-01,1.148627629280432605e-03
5.437025377039416546e-02,9.988513723707195258e-01,1.148627629280432605e-03
5.437025377039416546e-02,9.988274426284429186e-01,1.172557371557108284e-03
